Date,Address,lat,lon,Killed,Injured,Content
2014-10-16,"Mogul Street, Detroit, Michigan",42.4167375,-82.9621522,1,3,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>Mogul Street, Detroit, Michigan"
2014-10-14,"6505 Bannor Lane, Peachtree Corners, Georgia",33.9504971,-84.2512157,3,2,"<b>Date: </b>NA<br/><b>Killed: </b>3<br/><b>Injured: </b>2<br/><b>Location: </b>6505 Bannor Lane, Peachtree Corners, Georgia"
2014-10-13,"85 Mount Zion Road, Atlanta, Georgia",33.6732435,-84.3905948,0,4,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>85 Mount Zion Road, Atlanta, Georgia"
2014-10-12,"1100 block of East March Lane, Stockton, California",38.00124,-121.2929218,3,1,"<b>Date: </b>NA<br/><b>Killed: </b>3<br/><b>Injured: </b>1<br/><b>Location: </b>1100 block of East March Lane, Stockton, California"
2014-10-12,"Arthur Langford Jr Place, Atlanta, Georgia",33.7118464,-84.3977673,1,3,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>Arthur Langford Jr Place, Atlanta, Georgia"
2014-10-11,"222 Bleecker Street, Utica, New York",43.1012497,-75.228421,0,5,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>222 Bleecker Street, Utica, New York"
2014-10-08,"Auburn Avenue and Edgewood Avenue, Atlanta, Georgia",33.7543928,-84.3770948,0,4,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>Auburn Avenue and Edgewood Avenue, Atlanta, Georgia"
2014-10-08,"1846 Western Ave, Guilderland, New York",42.6914409,-73.8711525,4,0,"<b>Date: </b>NA<br/><b>Killed: </b>4<br/><b>Injured: </b>0<br/><b>Location: </b>1846 Western Ave, Guilderland, New York"
2014-10-05,"7300 block of Linda Drive, Jacksonville, Florida",30.387035,-81.6723193,3,1,"<b>Date: </b>NA<br/><b>Killed: </b>3<br/><b>Injured: </b>1<br/><b>Location: </b>7300 block of Linda Drive, Jacksonville, Florida"
2014-10-05,"East 7 Mile Road and Sherwood Street, Detroit, Michigan",42.433768,-83.0340459,1,5,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>5<br/><b>Location: </b>East 7 Mile Road and Sherwood Street, Detroit, Michigan"
2014-10-04,"1400 block of Gherald Street, Memphis, Tennessee",35.1698376,-89.9208242,2,2,"<b>Date: </b>NA<br/><b>Killed: </b>2<br/><b>Injured: </b>2<br/><b>Location: </b>1400 block of Gherald Street, Memphis, Tennessee"
