Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
21-Jun-15,Pennsylvania,Pittsburgh (Wilkinsburg),Rebecca and East Swissvale Avenue,0,4,N/A
21-Jun-15,Kentucky,Lexington,726 Georgetown St,1,4,N/A
20-Jun-15,North Carolina,Morven,6066 Robinson Bridge Rd,0,4,N/A
20-Jun-15,Michigan,Detroit,Dexter and Webb,1,11,N/A
20-Jun-15,Pennsylvania,Philadelphia,4100 block of Ogden Street,0,11,N/A
19-Jun-15,Rhode Island,Woonsocket,80 River Street,0,4,N/A
17-Jun-15,South Carolina,Charleston,110 Calhoun Street,9,0,N/A
16-Jun-15,Florida,Miami Gardens,600 block of Northwest 177th Street,0,4,N/A
15-Jun-15,New York,Brooklyn,673 Flatbush Avenue,0,4,N/A
14-Jun-15,New Jersey,Camden,2800 block of Mitchell Street,1,3,N/A
14-Jun-15,Oklahoma,Tulsa,1800 block of North Kingston,0,4,N/A
14-Jun-15,Missouri,Saint Louis,1400 block of North Market Street,0,4,N/A
13-Jun-15,Georgia,Fayetteville,600 block of Highway 279,1,4,N/A
13-Jun-15,Oklahoma,Oklahoma City,500 block of SE 69th St,0,4,N/A
13-Jun-15,Georgia,Milledgeville,451 North Flynn Street,1,3,N/A
13-Jun-15,New York,Bronx,2409 Creston Avenue,0,5,N/A
13-Jun-15,Ohio,Columbus,1623 E. Hudson Street,4,1,N/A
12-Jun-15,Florida,Allapattah,24th Avenue and 36th Street,0,4,N/A
11-Jun-15,Connecticut,Bridgeport,468 Trumbull Ave,1,8,N/A
11-Jun-15,Texas,Houston,3400 block of Burkett,1,3,N/A
10-Jun-15,California,Los Angeles,South Vermont Avenue and West 88th Street,1,3,N/A
9-Jun-15,Missouri,Saint Louis,North Market Street and North Spring Avenue,1,3,N/A
7-Jun-15,Montana,Deer Lodge,Boulder Creek Road,5,0,N/A
6-Jun-15,New York,Buffalo,100 block of Warren Avenue,1,4,N/A
6-Jun-15,Illinois,Chicago,100 block of North Lorel Avenue,0,5,N/A
5-Jun-15,Iowa,Davenport,900 block of West 3rd St,0,5,N/A
5-Jun-15,Louisiana,New Orleans,2100 block of Governor Nicholls Street,1,3,N/A
3-Jun-15,New York,Wyandanch,Davidson Street,3,1,N/A
31-May-15,Ohio,Cleveland,16209 block of Laverne Avenue,3,1,N/A
31-May-15,Maryland,Springdale,9222 Ardwick Ardmore Road,1,3,N/A
31-May-15,Connecticut,New Haven,849 Chapel Street,0,5,N/A
31-May-15,Georgia,Conyers,4669 Bell Road SE,3,2,N/A
30-May-15,California,San Diego,4200 block of Market Street,0,4,N/A
28-May-15,Nebraska,Omaha,84th and Q,0,4,N/A
28-May-15,Illinois,Chicago,6200 block of South Honore Street,0,5,N/A
28-May-15,Pennsylvania,Chester,2700 block of West 3rd Street,1,3,N/A
26-May-15,Louisiana,New Orleans,6700 block of Tara Lane,2,2,N/A
25-May-15,Illinois,Decatur,1816 N Water,1,4,N/A
24-May-15,Massachusetts,Brockton,1002 Main St,0,5,N/A
24-May-15,Michigan,Flint,W. 12th Street and Hammerberg Road.,0,7,N/A
24-May-15,Alabama,Montgomery,Smiley Court,1,3,N/A
24-May-15,Missouri,Saint Louis,2700 block of Dayton,0,4,N/A
23-May-15,California,Fresno,2400 block of South 9th Street,2,2,N/A
20-May-15,Maryland,Baltimore,800 block of Linwood Avenue,1,3,N/A
18-May-15,Missouri,Kinloch,8000 block of School Way,0,4,N/A
18-May-15,Florida,Miami,Northwest 75th Street and Northwest 16th Avenue,1,4,N/A
17-May-15,Texas,Waco,4671 S Jack Kultgen Fwy,9,18,N/A
16-May-15,Wisconsin,Milwaukee,28th Street and Auer Avenue,0,5,N/A
16-May-15,New York,Rochester,188 Lewis Street,0,4,N/A
16-May-15,Maryland,Baltimore,1700 block of North Broadway,0,5,N/A
12-May-15,Maryland,Capitol Heights,Pard Road,1,4,N/A
12-May-15,Arizona,Tucson,800 block of West Calle Medina Road,5,0,N/A
10-May-15,Ohio,Cleveland,3600 block of Bosworth Rd,1,4,N/A
10-May-15,New Jersey,Jersey City,Bostwick Avenue,0,4,N/A
10-May-15,New Jersey,Newark,19th Avenue and South 16th Street,1,3,N/A
7-May-15,Ohio,Cincinnati,2300 block of Baltimore Avenue,0,4,N/A
7-May-15,Michigan,Detroit,16000 block of Cathedral Street,0,4,N/A
4-May-15,New York,Buffalo,100 block of Roosevelt Avenue,1,3,N/A
3-May-15,Indiana,South Bend,1600 block of South William Street,0,4,N/A
3-May-15,Texas,Houston,San Jacinto at Elgin,0,6,N/A
3-May-15,New York,Bronx,University Avenue,0,4,N/A
3-May-15,Ohio,Dayton,2801 Germantown Street,1,6,N/A
3-May-15,Wisconsin,Menasha,Friendship Trail,4,1,N/A
1-May-15,Wisconsin,Milwaukee,3700 block of 37th Street,2,3,N/A
27-Apr-15,New York,Brooklyn,1365 Flatbush Ave,2,4,N/A
27-Apr-15,Arizona,Gila Bend,State Route 85,2,2,N/A
25-Apr-15,New Jersey,Trenton,Wood Street,0,4,N/A
25-Apr-15,New York,Gates,24 Hinchey Rd,1,6,N/A
21-Apr-15,Texas,Killeen,420 Gilmer St,2,3,N/A
19-Apr-15,Virginia,Richmond,200 block of West Hill Street,0,4,N/A
18-Apr-15,Alabama,Montgomery,1800 block of Gibbs Court,0,5,N/A
18-Apr-15,Pennsylvania,Williamsport,321 Pine St,0,5,N/A
18-Apr-15,North Carolina,Lumberton,Martin Luther King Drive,1,3,N/A
18-Apr-15,North Carolina,Charlotte,Bost Street,0,4,N/A
18-Apr-15,New Jersey,Paterson,Rosa Parks Blvd and Godwin Ave,1,3,N/A
16-Apr-15,Arizona,Phoenix,4300 block of East Anderson Drive,5,0,N/A
7-Apr-15,Georgia,Rome,20 Copeland Street,1,3,N/A
5-Apr-15,Pennsylvania,Pittsburgh,Dinwiddie Street,1,3,N/A
5-Apr-15,Kentucky,Louisville,40th and Grand Street,1,4,N/A
5-Apr-15,Indiana,Indianapolis,5000 block of Wildflower Court,0,5,N/A
5-Apr-15,Michigan,Benton Harbor,1000 block of Blossom Lane,0,4,N/A
3-Apr-15,Florida,Daytona Beach,300 block of Henry Butts Drive,0,4,N/A
2-Apr-15,Maryland,Baltimore,1900 block of West Lanvale Street,0,5,N/A
27-Mar-15,Florida,Panama City Beach,5312 Thomas Drive,0,7,N/A
26-Mar-15,Texas,Amarillo,3100 block of Redwood,0,4,N/A
24-Mar-15,Indiana,Indianapolis,3100 block of North Harding Street,4,0,N/A
23-Mar-15,Tennessee,Clarksville,900 block of Carpenter Street,1,4,N/A
22-Mar-15,New Mexico,Albuquerque,10140 Lomas NE,1,6,N/A
21-Mar-15,Florida,Tampa,1802 Seventh Ave,0,4,N/A
20-Mar-15,Oklahoma,Oklahoma City,1300 block of N Stiles Ave,0,4,N/A
20-Mar-15,Texas,Lancaster,1500 block of Reynolds Street,1,5,N/A
18-Mar-15,New Jersey,Newark,200 block of Clinton Place,1,3,N/A
18-Mar-15,Arizona,Mesa,1504 West Main Street,1,5,N/A
17-Mar-15,California,Stockton,748 N Madison St,3,4,N/A
15-Mar-15,California,Compton,2700 block of West Alondra Boulevard,0,4,N/A
14-Mar-15,Georgia,Atlanta,2900 block of Delmar Lane,0,5,N/A
14-Mar-15,California,Coachella,84000 block of Bagdad Avenue,0,4,N/A
13-Mar-15,Mississippi,Brookhaven,1097 South First St.,2,3,N/A
10-Mar-15,Georgia,Columbus,3023 Victory Drive,0,5,N/A
9-Mar-15,Illinois,Chicago,200 block of West 105th,1,3,N/A
8-Mar-15,South Carolina,Seneca,Wells Highway,1,3,N/A
7-Mar-15,Missouri,Saint Louis,3140 Olive St,0,4,N/A
4-Mar-15,California,San Bernardino,190 block of W Club Center Dr,3,4,N/A
1-Mar-15,Florida,Orange County,4900 block of Steyr Street,0,4,N/A
1-Mar-15,Michigan,Detroit,9855 Chalmers St,1,5,N/A
28-Feb-15,Maryland,Baltimore,4300 block of Welbourne Road,1,3,N/A
26-Feb-15,Missouri,Tyrone,18279 Highway H,8,1,N/A
25-Feb-15,Texas,Houston,5022 Mallow St,3,1,N/A
23-Feb-15,Florida,Daytona Beach,Sheridan Road,0,4,N/A
22-Feb-15,Texas,Killeen,1706 Godman St.,4,1,N/A
22-Feb-15,Georgia,Clarkesville,281 Lower Pond Court,3,2,N/A
22-Feb-15,South Carolina,Charleston,4224 Dorchester Road,0,4,N/A
20-Feb-15,California,Sacramento,1417 R Street,0,4,N/A
17-Feb-15,Arkansas,Little Rock,7900 Scott Hamilton,1,3,N/A
15-Feb-15,California,Long Beach,200 block of W. 14th Street,0,5,N/A
9-Feb-15,Florida,New Port Richey,9552 Adler Street,3,1,N/A
8-Feb-15,Tennessee,Friendship,251 Dupree Rd,0,6,N/A
7-Feb-15,Georgia,Douglasville,3640 Willow Tree Circle,5,2,N/A
6-Feb-15,Oklahoma,Tulsa,1219 N. Sheridan Road,1,4,N/A
5-Feb-15,Ohio,Beachwood (Warrensville Heights),Harvard Road,3,3,N/A
1-Feb-15,New York,Syracuse,1217 West Fayette Street,0,6,N/A
1-Feb-15,New York,New York (Manhattan),3345 Broadway,1,4,N/A
31-Jan-15,Georgia,Lagrange,100 block of Woodstream Trail,4,0,N/A
28-Jan-15,Georgia,Dekalb County,1600 block of Panola Road,1,3,N/A
26-Jan-15,California,Stockton,1500 block of E. 9th Street,1,3,N/A
24-Jan-15,New York,Arverne (Queens),231-11 148th Avenue,4,1,N/A
24-Jan-15,Nebraska,Omaha,3402 Parker St,3,5,N/A
23-Jan-15,Massachusetts,Boston,954 Parker Street,0,6,N/A
20-Jan-15,Tennessee,Clarksville,321 Lansinger Lane,1,3,N/A
19-Jan-15,Texas,San Antonio,1000 block of Gibbs St.,2,5,N/A
13-Jan-15,Illinois,Rockford,700 block of Oakley Avenue,2,2,N/A
